Date,r50,r85,r87,r97,r140,r148,r140148,r150,r170,r190,r211,r213
1/1/1995,771.01,180.74,219.01,783.91,0.74,46.18,46.92,188.2,514.61,935.33,1151.1,1178.1
1/2/1995,201.27,58.43,63.322,197.27,54.34,84.968,139.308,159.96,260.44,422.28,305.89,316.21
1/3/1995,180.5,58.07,62.323,182.22,146.17,110.03,256.2,277.03,364.68,485.17,279.85,287.6
1/4/1995,164.02,58.12,62.01,165.5,213.42,133.45,346.87,378.64,460.35,571.28,263.13,270.2
1/5/1995,195.67,65.68,79.377,225.09,299.84,155.45,455.29,486.77,577.04,716.18,299.95,305.89
1/6/1995,148.21,62.83,66.474,143.04,422.53,171.95,594.48,621.16,689.34,799.48,246.19,252.69
1/7/1995,130.6,59.93,63.077,129.44,452.23,166.62,618.85,655.45,719.49,811.42,230.01,235.62
1/8/1995,119.05,57.57,60.46,118.67,448.14,159,607.14,643.55,702.6,787.63,216.18,221.36
1/9/1995,109.52,55.04,57.715,109.26,434.95,150.31,585.26,622.94,677.21,755.56,202.66,207.46
1/10/1995,101.36,52.38,54.862,100.94,418.1,141.18,559.28,596.38,646.51,719.14,189.64,194.08
1/11/1995,94.08,49.69,52.001,93.47,399.55,132,531.55,566.99,613.45,682.01,177.37,181.48
1/12/1995,88.33,47.21,49.359,87.94,380.02,123.29,503.31,537.86,581.96,646.2,167.99,171.68
1/13/1995,85.66,45.71,47.769,85.98,360.67,116.16,476.83,510.89,554.49,617.59,164.68,168.31
1/14/1995,83.06,44.44,46.435,83.53,342.91,110.46,453.37,484.49,526.67,588.53,159.62,163.29
1/15/1995,78.14,42.41,44.313,78.29,326.94,105.15,432.09,460.95,500.23,557.85,150.07,153.55
1/16/1995,73.27,40.28,42.053,73.23,311.54,101.28,412.82,442.6,479.14,532.41,140.84,144.09
1/17/1995,71.91,39.48,41.148,71.6,301.96,99.127,401.087,430.62,466.75,517.92,137.77,140.66
1/18/1995,72.42,39.34,41.045,73.07,288.64,96.323,384.963,414.36,450.89,503.74,138.57,141.7
1/19/1995,68.43,37.51,39.158,68.62,276.22,93.235,369.455,397.15,431.39,481.19,130.79,133.8
1/20/1995,64.5,35.58,37.127,64.44,264.83,89.905,354.735,381.62,413.74,460.43,123.2,126.02
1/21/1995,61.19,34.14,35.592,61.02,258.04,87.278,345.318,370.64,401.1,445.1,117.13,119.81
1/22/1995,57.43,32.43,33.808,57.27,250.43,83.763,334.193,357.81,386.58,427.91,110.41,112.89
1/23/1995,54.04,30.61,31.917,53.97,241.43,79.91,321.34,345.51,372.5,411.15,104.22,106.54
